Date,Open,High,Low,Close,Volume
2023-01-01 17:05:00,1.06973,1.06978,1.0697,1.06971,0.0
2023-01-01 17:06:00,1.06966,1.06966,1.06966,1.06966,0.0
2023-01-01 17:08:00,1.0697,1.06974,1.0697,1.06974,0.0
2023-01-01 17:10:00,1.06975,1.0698,1.06972,1.06972,0.0
2023-01-01 17:11:00,1.06972,1.06972,1.06972,1.06972,0.0
2023-01-01 17:12:00,1.06975,1.0698,1.06975,1.0698,0.0
2023-01-01 17:13:00,1.07066,1.07066,1.06917,1.06943,0.0
2023-01-01 17:14:00,1.06937,1.06937,1.06899,1.06899,0.0
2023-01-01 17:15:00,1.06788,1.06788,1.06788,1.06788,0.0
2023-01-01 17:16:00,1.06788,1.06788,1.06788,1.06788,0.0
2023-01-01 17:42:00,1.06904,1.06958,1.06904,1.06928,0.0
2023-01-01 17:43:00,1.06951,1.06956,1.06934,1.06956,0.0
2023-01-01 17:45:00,1.06962,1.07033,1.06879,1.06879,0.0
2023-01-01 17:46:00,1.06957,1.07034,1.0686,1.06938,0.0
2023-01-01 17:47:00,1.06954,1.07061,1.0688,1.06885,0.0
2023-01-01 17:48:00,1.07006,1.07018,1.0686,1.06945,0.0
2023-01-01 17:49:00,1.06944,1.06971,1.06894,1.06947,0.0
2023-01-01 17:50:00,1.06944,1.07007,1.06879,1.07001,0.0
2023-01-01 17:51:00,1.06934,1.06954,1.0686,1.0686,0.0
2023-01-01 17:52:00,1.06956,1.06956,1.06936,1.06936,0.0
2023-01-01 17:53:00,1.06881,1.06881,1.06881,1.06881,0.0
2023-01-01 17:55:00,1.06879,1.06879,1.06875,1.06875,0.0
2023-01-01 17:56:00,1.06954,1.06954,1.06874,1.06874,0.0
2023-01-01 17:57:00,1.06936,1.06952,1.06936,1.06946,0.0
2023-01-01 17:58:00,1.06855,1.06897,1.06823,1.06897,0.0
2023-01-01 17:59:00,1.06929,1.06929,1.06929,1.06929,0.0
2023-01-01 18:00:00,1.06896,1.06931,1.06896,1.06931,0.0
2023-01-01 18:01:00,1.06931,1.06931,1.06929,1.06929,0.0
2023-01-01 18:02:00,1.06896,1.06929,1.06895,1.06929,0.0
2023-01-01 18:03:00,1.06896,1.06929,1.06896,1.0691,0.0
2023-01-01 18:04:00,1.06863,1.06941,1.06863,1.06941,0.0
2023-01-01 18:05:00,1.06942,1.06953,1.069,1.06943,0.0
2023-01-01 18:06:00,1.06909,1.06943,1.06856,1.06856,0.0
2023-01-01 18:07:00,1.0685,1.0685,1.0684,1.0684,0.0
2023-01-01 18:08:00,1.0684,1.0684,1.06836,1.0684,0.0
2023-01-01 18:10:00,1.06916,1.06917,1.06829,1.06829,0.0
2023-01-01 18:11:00,1.06917,1.06922,1.06917,1.06917,0.0
2023-01-01 18:12:00,1.0683,1.0704,1.0683,1.0695,0.0
2023-01-01 18:13:00,1.0695,1.0695,1.06949,1.06949,0.0
2023-01-01 18:14:00,1.06949,1.06949,1.06895,1.06895,0.0
2023-01-01 18:15:00,1.06933,1.06933,1.06933,1.06933,0.0
2023-01-01 18:18:00,1.06895,1.0695,1.06849,1.06893,0.0
2023-01-01 18:19:00,1.0695,1.06951,1.0695,1.0695,0.0
2023-01-01 18:20:00,1.06947,1.07024,1.06941,1.06942,0.0
2023-01-01 18:21:00,1.07047,1.07047,1.06934,1.0695,0.0
2023-01-01 18:22:00,1.0695,1.07041,1.06937,1.0695,0.0
2023-01-01 18:23:00,1.06944,1.0695,1.06937,1.0695,0.0
2023-01-01 18:24:00,1.0695,1.06951,1.06939,1.0695,0.0
2023-01-01 18:25:00,1.0695,1.0695,1.06936,1.0695,0.0
2023-01-01 18:26:00,1.0695,1.06951,1.06939,1.0695,0.0
2023-01-01 18:27:00,1.0695,1.07044,1.0694,1.06943,0.0
2023-01-01 18:28:00,1.0695,1.0695,1.06939,1.0695,0.0
2023-01-01 18:29:00,1.06939,1.06951,1.06939,1.0695,0.0
2023-01-01 18:30:00,1.0695,1.06952,1.06923,1.06952,0.0
2023-01-01 18:31:00,1.06951,1.06953,1.06942,1.06952,0.0
2023-01-01 18:32:00,1.06943,1.06953,1.06925,1.06938,0.0
2023-01-01 18:33:00,1.06952,1.06953,1.06925,1.06927,0.0
2023-01-01 18:34:00,1.06925,1.06952,1.06925,1.0693,0.0
2023-01-01 18:35:00,1.06938,1.06953,1.06925,1.06952,0.0
2023-01-01 18:36:00,1.0695,1.06954,1.0694,1.06953,0.0
2023-01-01 18:37:00,1.06942,1.06953,1.0694,1.06953,0.0
2023-01-01 18:38:00,1.06952,1.06953,1.06942,1.06953,0.0
2023-01-01 18:39:00,1.06952,1.06954,1.06942,1.06953,0.0
2023-01-01 18:40:00,1.06942,1.06954,1.06942,1.06953,0.0
2023-01-01 18:41:00,1.06942,1.06955,1.06938,1.06953,0.0
2023-01-01 18:42:00,1.06943,1.06955,1.06943,1.06954,0.0
2023-01-01 18:43:00,1.0695,1.06954,1.06941,1.06954,0.0
2023-01-01 18:44:00,1.06944,1.06997,1.06941,1.06944,0.0
2023-01-01 18:45:00,1.06947,1.06997,1.06944,1.06944,0.0
2023-01-01 18:46:00,1.06982,1.06982,1.06944,1.06959,0.0
2023-01-01 18:47:00,1.06949,1.06959,1.06943,1.06951,0.0
2023-01-01 18:48:00,1.06954,1.06954,1.06947,1.06951,0.0
2023-01-01 18:49:00,1.06954,1.06954,1.06951,1.06951,0.0
2023-01-01 18:50:00,1.06954,1.06954,1.06947,1.06947,0.0
2023-01-01 18:51:00,1.06942,1.0695,1.06942,1.06949,0.0
2023-01-01 18:52:00,1.06947,1.06959,1.06943,1.06945,0.0
2023-01-01 18:53:00,1.06944,1.06961,1.06942,1.0696,0.0
2023-01-01 18:54:00,1.0695,1.0696,1.06946,1.06949,0.0
2023-01-01 18:55:00,1.0696,1.0696,1.06945,1.06959,0.0
2023-01-01 18:56:00,1.06945,1.06999,1.06945,1.06992,0.0
2023-01-01 18:57:00,1.06995,1.07012,1.06991,1.06994,0.0
2023-01-01 18:58:00,1.0699,1.06999,1.06987,1.06992,0.0
2023-01-01 18:59:00,1.07002,1.07011,1.06986,1.07005,0.0
2023-01-01 19:00:00,1.07007,1.07009,1.06998,1.07001,0.0
2023-01-01 19:01:00,1.06998,1.07026,1.06998,1.07026,0.0
2023-01-01 19:02:00,1.06998,1.07033,1.06998,1.07004,0.0
2023-01-01 19:03:00,1.06998,1.07011,1.06998,1.06998,0.0
2023-01-01 19:04:00,1.07003,1.07034,1.06999,1.07005,0.0
2023-01-01 19:05:00,1.06998,1.07005,1.06998,1.07003,0.0
2023-01-01 19:06:00,1.07001,1.07005,1.06994,1.06994,0.0
2023-01-01 19:07:00,1.06996,1.07011,1.06996,1.07005,0.0
2023-01-01 19:08:00,1.07006,1.07006,1.07004,1.07005,0.0
2023-01-01 19:09:00,1.07009,1.07017,1.06998,1.07005,0.0
2023-01-01 19:10:00,1.07001,1.07007,1.07001,1.07002,0.0
2023-01-01 19:11:00,1.07006,1.07006,1.07005,1.07005,0.0
2023-01-01 19:12:00,1.07006,1.07006,1.06999,1.07006,0.0
2023-01-01 19:13:00,1.07005,1.07013,1.07002,1.07003,0.0
2023-01-01 19:14:00,1.07002,1.07006,1.06999,1.07,0.0
2023-01-01 19:15:00,1.07006,1.07006,1.07001,1.07006,0.0
2023-01-01 19:16:00,1.07006,1.07006,1.07001,1.07006,0.0
2023-01-01 19:17:00,1.07005,1.07007,1.06949,1.0695,0.0
2023-01-01 19:18:00,1.06952,1.06962,1.06952,1.06953,0.0
2023-01-01 19:19:00,1.06958,1.06958,1.06948,1.0695,0.0
2023-01-01 19:20:00,1.06953,1.06953,1.06952,1.06953,0.0
2023-01-01 19:21:00,1.06954,1.06957,1.06954,1.06957,0.0
2023-01-01 19:22:00,1.06958,1.06958,1.06956,1.06958,0.0
2023-01-01 19:23:00,1.06958,1.06958,1.06953,1.06957,0.0
2023-01-01 19:24:00,1.06953,1.06987,1.06953,1.06977,0.0
2023-01-01 19:25:00,1.0698,1.06983,1.06967,1.06968,0.0
2023-01-01 19:26:00,1.06968,1.06968,1.06966,1.06966,0.0
2023-01-01 19:27:00,1.06969,1.06984,1.06969,1.06977,0.0
2023-01-01 19:28:00,1.06973,1.06976,1.06972,1.06976,0.0
2023-01-01 19:29:00,1.06973,1.06977,1.06973,1.06977,0.0
2023-01-01 19:30:00,1.06975,1.06977,1.06974,1.06977,0.0
2023-01-01 19:31:00,1.06974,1.06977,1.06968,1.06969,0.0
2023-01-01 19:32:00,1.0697,1.06971,1.06968,1.0697,0.0
2023-01-01 19:33:00,1.06971,1.06973,1.06969,1.06973,0.0
2023-01-01 19:34:00,1.06971,1.06973,1.06971,1.06973,0.0
2023-01-01 19:35:00,1.06971,1.06971,1.06919,1.06924,0.0
2023-01-01 19:36:00,1.06928,1.0694,1.06928,1.0694,0.0
2023-01-01 19:37:00,1.0694,1.0694,1.06936,1.06936,0.0
2023-01-01 19:38:00,1.06936,1.06937,1.06936,1.06936,0.0
2023-01-01 19:39:00,1.06942,1.06943,1.06942,1.06943,0.0
2023-01-01 19:40:00,1.06943,1.0696,1.06938,1.0696,0.0
2023-01-01 19:41:00,1.06966,1.07018,1.06912,1.06943,0.0
2023-01-01 19:42:00,1.06946,1.06952,1.06943,1.06949,0.0
2023-01-01 19:43:00,1.06949,1.06955,1.06942,1.06951,0.0
2023-01-01 19:44:00,1.06945,1.06954,1.06942,1.06949,0.0
2023-01-01 19:45:00,1.06949,1.06988,1.06942,1.06988,0.0
2023-01-01 19:46:00,1.06988,1.06998,1.06981,1.06987,0.0
2023-01-01 19:47:00,1.06987,1.07013,1.06984,1.07012,0.0
2023-01-01 19:48:00,1.07012,1.07013,1.06991,1.06992,0.0
2023-01-01 19:49:00,1.06991,1.06993,1.06989,1.06993,0.0
2023-01-01 19:50:00,1.06991,1.06993,1.06988,1.06988,0.0
2023-01-01 19:51:00,1.0699,1.06994,1.06988,1.06992,0.0
2023-01-01 19:52:00,1.0699,1.06994,1.06988,1.0699,0.0
2023-01-01 19:53:00,1.06991,1.06994,1.06988,1.06991,0.0
